"[1.1448889578458954, 1.013155956712262]"
"[1.1448961032674287, 1.0131593398471026]"
"[1.1448820390614736, 1.013151967280058]"
"[1.1448789126026024, 1.0131505131215586]"
"[1.1448763323490654, 1.013149394097622]"
"[1.1448784452461702, 1.013155272245099]"
"[1.1448772903907096, 1.0131515509900113]"
"[1.1448762255357618, 1.0131483665878223]"
"[1.1448732039034808, 1.0131474317827738]"
"[1.1448731277345232, 1.0131473663610158]"
"[1.1448692438574788, 1.013145737986392]"
"[1.1448662602153845, 1.0131445348228074]"
"[1.1448623413207906, 1.013142954514524]"
"[1.1448687507258397, 1.0131452678455564]"
"[1.144868643234066, 1.0131450833149822]"
"[1.1448648361979816, 1.013143166586518]"
"[1.1448625795319065, 1.0131416666466948]"
"[1.144861496291771, 1.0131403527587233]"
"[1.1448576147750695, 1.0131392832702384]"
"[1.1448552226891509, 1.0131389475021446]"
"[1.1448535944391998, 1.0131376771285117]"
"[1.144848462751479, 1.0131342218892931]"
"[1.144848522584019, 1.0131350515095816]"
"[1.144846220078189, 1.0131342704711714]"
"[1.1448438634106912, 1.0131327357343602]"
"[1.1448410452409692, 1.0131294105505486]"
"[1.1448388821732913, 1.013131003793426]"
"[1.1448357018706061, 1.0131288657590625]"
"[1.1448330194099559, 1.0131274801068268]"
"[1.1448301905306641, 1.0131266472992597]"
"[1.144827249903694, 1.0131278033637765]"
"[1.144823531160964, 1.013129831347247]"
"[1.144819528232773, 1.013132014307196]"
"[1.1448203335366285, 1.013126653467123]"
"[1.1448152302010202, 1.0131264298903095]"
"[1.1448101273764737, 1.0131262063343716]"
"[1.1448262946523908, 1.0131238127583158]"
"[1.144823718575689, 1.01312416071719]"
"[1.1448213720550247, 1.0131224619433314]"
"[1.144818308867155, 1.0131204710709492]"
"[1.1448172599057724, 1.0131186154739393]"
"[1.1448147057672307, 1.0131196976477714]"
"[1.1448111798643463, 1.0131166229640949]"
"[1.1448088431452512, 1.0131154334278667]"
"[1.1448053503106446, 1.0131166598285952]"
"[1.1448033748771125, 1.0131141281286682]"
"[1.1448010490168603, 1.01311188514884]"
"[1.1447965665172415, 1.0131121475255038]"
"[1.1447945888681128, 1.0131085371865496]"
"[1.1447891055826318, 1.0131080262901289]"
"[1.144790728563639, 1.0131066821968413]"
"[1.1447884337919378, 1.0131065189315507]"
"[1.1447869172587213, 1.013104325379969]"
"[1.1447838884412598, 1.0131031364603806]"
"[1.1447802989739935, 1.01310089792982]"
"[1.144777279331553, 1.013099962769718]"
"[1.144775426847024, 1.0130994579741224]"
"[1.1447714410475929, 1.013097270685865]"
"[1.1447677558837603, 1.0130962100476273]"
"[1.1447650049534182, 1.0130952973541438]"
"[1.144762005303322, 1.013093253834725]"
"[1.1447571880454503, 1.0130920537708061]"
"[1.1447559795343583, 1.0144219394663652]"
"[1.1447470682287695, 1.0221238312568297]"
"[1.144741518073553, 1.0312545614074222]"
"[1.144723160845354, 1.0410483369741634]"
"[1.1447124465264913, 1.0524820602321046]"
"[1.1447074485983941, 1.0642883828365226]"
"[1.1446784730941, 1.074533248832862]"
"[1.144672187708735, 1.0844389961109624]"
"[1.1446638780955427, 1.0959798516145467]"
"[1.1446612669864566, 1.1061176696185053]"
"[1.1446138337517904, 1.1176821953449223]"
"[1.1446065622029706, 1.129396952893726]"
"[1.1445822316973897, 1.1410133159744975]"
"[1.1445755362275567, 1.1513437255140788]"
"[1.1445636222134132, 1.1630952295764674]"
"[1.1445592604366872, 1.174936803775085]"
"[1.1444884155705564, 1.1864995380245318]"
"[1.1445287573701084, 1.1966754935474981]"
"[1.1444900068534443, 1.2082539673840496]"
"[1.1444607880740072, 1.2183401723916696]"
"[1.144457141036511, 1.229929007142162]"
"[1.1444572240779898, 1.2399422799374]"
"[1.1444508259560233, 1.2479411588551796]"
"[1.144397219132585, 1.2594871051744392]"
"[1.1443928594856339, 1.2693979653445344]"
"[1.144384537625585, 1.2795141706159916]"
"[1.1443708209420633, 1.2911322210204677]"
"[1.144360685430286, 1.3027544394012553]"
"[1.1443560598232738, 1.314388712434032]"
"[1.1443498031203632, 1.3245334299231948]"
"[1.1443151738256594, 1.3344011372580669]"
"[1.1443058329712053, 1.3442232507890624]"
"[1.1442805299612058, 1.3558986557568713]"
"[1.1442749017451175, 1.3675153530297337]"
"[1.1442642110844057, 1.3776696378764441]"
"[1.1442601319290788, 1.389389028760887]"
"[1.1442079468075914, 1.4010955218549925]"
"[1.1441975798650783, 1.4128396322615906]"
"[1.1441770862398415, 1.4245753890640769]"
"[1.1441671169741938, 1.436334153182928]"
"[1.144152953988886, 1.4480094883450507]"
"[1.1441485542838306, 1.4596582339725377]"
"[1.144116128196633, 1.4698064477196129]"
"[1.1441164620414899, 1.4815124798932564]"
"[1.1441078217437644, 1.493222889633731]"
"[1.1440812846728903, 1.504871993654985]"
"[1.1440718241061567, 1.5149676708861703]"
"[1.1440646760097708, 1.526670277678551]"
"[1.1440612947687991, 1.5365682326072603]"
"[1.144025734990684, 1.546402317262385]"
"[1.1440219244979923, 1.5578341618734448]"
"[1.1439980821215805, 1.5693552419676804]"
"[1.1439868716120716, 1.5794157625784484]"
"[1.143975746592882, 1.591074865576288]"
"[1.1439663591733664, 1.6011372127498154]"
"[1.1439326806241847, 1.6125558387714503]"
"[1.1439593175992264, 1.624064836863311]"
"[1.1439233118055894, 1.6323247480069902]"
"[1.1438996906620351, 1.6424234583405108]"
"[1.1438932814101692, 1.65386815851889]"
"[1.1438823852323603, 1.6638092908830544]"
"[1.1438784925572651, 1.675286551070558]"
"[1.1438397235083302, 1.6868282883101893]"
"[1.1438259277283314, 1.6968884863816767]"
"[1.1438026919408426, 1.7085692300318254]"
"[1.1438076286120666, 1.7202122050411128]"
"[1.1437933535783107, 1.7316308195773664]"
"[1.1437915138326968, 1.7418147632027314]"
"[1.143781023429559, 1.7533705146856147]"
"[1.1437315521687592, 1.7648873671638592]"
"[1.143720521752828, 1.7750117328836303]"
"[1.14369884248339, 1.7866685763664814]"
"[1.1436890283711958, 1.7981213668973528]"
"[1.1436738931910775, 1.8083093544967046]"
"[1.1436694208353146, 1.8198176612381858]"
"[1.1436364635900425, 1.8298385845549496]"
"[1.143638164152454, 1.8413727656206023]"
"[1.1436027994936904, 1.8529987111143205]"
"[1.1436246068717448, 1.863042588324996]"
"[1.1435953599853967, 1.8745366077204209]"
"[1.14359750134006, 1.8860868676740619]"
"[1.143586412865795, 1.8960349371924252]"
"[1.1435758596617989, 1.906120445689665]"
"[1.1435621767932935, 1.917702233989076]"
"[1.1435389069102746, 1.9290840480789218]"
"[1.143527380173813, 1.9392012256571836]"
"[1.14351748327065, 1.9491810915186978]"
"[1.1435130125080557, 1.9604865653724404]"
"[1.1434636413011294, 1.9705083979921825]"
"[1.1434893470952836, 1.9821456065731242]"
"[1.1434642867651332, 1.9937256499809124]"
"[1.1434529317341202, 2.0037843293703075]"
"[1.1434402341610286, 2.0138353208671096]"
"[1.1434351318576748, 2.0253090301933585]"
"[1.1434307554478609, 2.035376715005024]"
"[1.1433924496048813, 2.046945299682361]"
"[1.1433843256593186, 2.0585713340919605]"
"[1.1433659332962713, 2.0701359802497983]"
"[1.143359176568885, 2.0803026024760363]"
"[1.1433472286824782, 2.091929601448659]"
"[1.1433450955894895, 2.102001350787392]"
"[1.1433200417820313, 2.1136453225505463]"
"[1.143310595714996, 2.1252351106508587]"
"[1.1433010160737391, 2.1353031492067247]"
"[1.1432841390859136, 2.146992653552883]"
"[1.1432752643529016, 2.1568399687187205]"
"[1.143271850025917, 2.166973635517713]"
"[1.1432704713476847, 2.178396298163312]"
"[1.1432499226937638, 2.188416194775241]"
"[1.1432408161832206, 2.200104515546894]"
"[1.143229229897629, 2.21179734138387]"
"[1.1432201858174633, 2.2234983813022207]"
"[1.1432097299376633, 2.2336301682263717]"
"[1.1432028336257911, 2.2451095498006817]"
"[1.1431797403269102, 2.255170404180177]"
"[1.143169443367476, 2.2667031591199245]"
"[1.1431574081861888, 2.2768673629062466]"
"[1.1431485843479916, 2.2885779841484557]"
"[1.1431391852386386, 2.2985632001880436]"
"[1.1431326715960277, 2.3101760745342905]"
"[1.1431302069189233, 2.32186234562033]"
"[1.1431127413033142, 2.3334563127097394]"
"[1.143106252195692, 2.3436144933699374]"
"[1.1430980282736485, 2.3552248857940605]"
"[1.1430867899422485, 2.3652913768668893]"
"[1.1430795064670392, 2.376847887268638]"
"[1.1430678633357674, 2.387060359759089]"
"[1.1430217892605548, 2.3986833727319077]"
"[1.1430342601719135, 2.4084671065682497]"
"[1.1430169176001386, 2.418692872676774]"
"[1.14300074154103, 2.4330488670171917]"
"[1.1429932144110346, 2.4474349089217053]"
"[1.1430007719290016, 2.4645141956278325]"
"[1.1429548323613248, 2.4794959097534717]"
"[1.1429155271675902, 2.4945954807421753]"
"[1.1429222230910017, 2.5119623033305305]"
"[1.142918515258523, 2.5270241709679975]"
"[1.1428774326970115, 2.544151982524638]"
"[1.1428876481041352, 2.5566006380773327]"
"[1.1428551532294342, 2.574076341186408]"
"[1.1428415396122362, 2.589044771697929]"
"[1.142843525321118, 2.6065252245934376]"
"[1.14278855111755, 2.6209037285570216]"
"[1.142766328256243, 2.636246165471038]"
"[1.1427760938370561, 2.650466392306864]"
"[1.1427655972643351, 2.665667045721936]"
"[1.1427343841980784, 2.6827347737548437]"
"[1.142893959686651, 2.6920856102234345]"
"[1.142750650194543, 2.7097929736302513]"
"[1.142737810615425, 2.7209224428808034]"
"[1.1427229674410504, 2.733807301556909]"
"[1.1427230480986603, 2.7483136404565105]"
"[1.142716907353294, 2.7655559941517533]"
"[1.1427169083974147, 2.7827438820954695]"
"[1.1427097386629763, 2.798082833593581]"
"[1.1427079421878341, 2.815627587558852]"
"[1.1426866801591118, 2.8331254954486305]"
"[1.1426946322168432, 2.8478816312078234]"
"[1.14268248368538, 2.8630634732649347]"
"[1.1426792516177726, 2.8800780411877525]"
"[1.1426462968762092, 2.895010076015935]"
"[1.1426352495726233, 2.912412124183845]"
"[1.1426177182036619, 2.9274037074390247]"
"[1.1426122877187586, 2.944799246670368]"
"[1.1426026318362326, 2.962173096950952]"
"[1.142599726144911, 2.9772189588453686]"
"[1.1426060399188456, 2.994725307264232]"
"[1.1425970367049987, 3.0093579275554028]"
"[1.1425941562807271, 3.026866193214782]"
"[1.142590680835426, 3.041772043078865]"
"[1.1425855765190245, 3.0587471741300782]"
"[1.1426066569804993, 3.0761306503860744]"
"[1.1426281903022815, 3.0912604691129775]"
"[1.1426128103541764, 3.1086799068485336]"
"[1.1426384746919773, 3.123797680665561]"
"[1.1426719808392005, 3.141225343577071]"
"[1.1426823562586894, 3.1584998265180815]"
"[1.142661147930888, 3.173655707476512]"
"[1.1427596909523319, 3.1909358991987467]"
"[1.1428022827324336, 3.208217253562105]"
"[1.142788933864444, 3.2234421513987845]"
"[1.142828780324257, 3.240485162206322]"
"[1.1429246920806941, 3.2553886849795735]"
"[1.1428482527191608, 3.270467854030467]"
"[1.1429676093648358, 3.287737547545362]"
"[1.1429868638246943, 3.305178124490867]"
"[1.1430264856294896, 3.3225882360356054]"
"[1.1430504838681808, 3.339947038897017]"
"[1.143148325260851, 3.355202410310343]"
"[1.143174087626836, 3.372785323236274]"
"[1.1431604918646339, 3.390310290992282]"
"[1.1432446214682546, 3.407902096003736]"
"[1.1433106811335607, 3.425360351867274]"
"[1.1432934592920432, 3.442899123204642]"
"[1.143300169769967, 3.4581902663119646]"
"[1.1434119018328035, 3.4756457542031614]"
"[1.1434593097790133, 3.4932228040683944]"
"[1.1434294180455755, 3.51065025233572]"
"[1.1434453402524765, 3.5258620900880255]"
"[1.1435638520791447, 3.543390430427131]"
"[1.1435081307881223, 3.5610036413754367]"
"[1.1435762776258587, 3.578597907181704]"
"[1.1435943929397976, 3.5961902978035023]"
"[1.1436918479620486, 3.6112935195062685]"
"[1.1436439356908343, 3.6286010382810003]"
"[1.1436598042332817, 3.6437364417552787]"
"[1.1436375503295633, 3.6609117155046618]"
"[1.1436294717035245, 3.6762639019766015]"
"[1.1436725780853085, 3.6935746078241682]"
"[1.143674060835193, 3.7112986995238293]"
"[1.1436706679708977, 3.728718661008455]"
"[1.1436689407801683, 3.746238701627878]"
"[1.1436608926768888, 3.761592303636305]"
"[1.1436902049544109, 3.7791710436895007]"
"[1.1436661854207941, 3.79646733806389]"
"[1.1436865122685558, 3.8140464038407473]"
"[1.14365411719421, 3.8294073669925695]"
"[1.1436651910606543, 3.847014269739453]"
"[1.1436733639651666, 3.8620926023794433]"
"[1.1436645668249967, 3.879591627974502]"
"[1.1436771075077203, 3.894637666216941]"
"[1.1436642117535358, 3.9120085234576196]"
"[1.1436599040427509, 3.929424747070267]"
"[1.1436617004164609, 3.9446312186144956]"
"[1.1436687979906368, 3.9620686163830743]"
"[1.1436390526181666, 3.9792458326181297]"
"[1.1436223766038283, 3.994559723361478]"
"[1.143627478482122, 4.012055076337109]"
"[1.1436190439507887, 4.027165548337361]"
"[1.1435542503053884, 4.04463119850344]"
"[1.143522520247364, 4.062106128101548]"
"[1.143501900108193, 4.07974072857217]"
"[1.1434906601213686, 4.094929583758143]"
"[1.1434810868502165, 4.112302880193607]"
"[1.1434486111949231, 4.129637216597462]"
"[1.1434313050634435, 4.144804286645379]"
"[1.1434102736801597, 4.161839018192162]"
"[1.1434163123234382, 4.176873319631924]"
"[1.143353856061867, 4.188944505997356]"
"[1.1433411707560845, 4.206405138010527]"
"[1.1433400535637697, 4.221248402036279]"
"[1.1433276666482364, 4.238425036839372]"
"[1.1432704229508737, 4.253407611849354]"
"[1.1432696849682222, 4.270443642960224]"
"[1.143247423811108, 4.2856492261943435]"
"[1.143227282867039, 4.302615643722504]"
"[1.1432208679193794, 4.317719991646552]"
"[1.143166940988959, 4.334810875675667]"
"[1.1431211492263422, 4.349517110623117]"
"[1.1431505757872737, 4.36480134457438]"
"[1.143121897784613, 4.381941463325539]"
"[1.1430967181079135, 4.396832269951603]"
"[1.1430786036490075, 4.411240768593877]"
"[1.143061935417209, 4.4263807233775]"
"[1.143062753498116, 4.440541025123025]"
"[1.1430525049208664, 4.458106651979063]"
"[1.1430261862497002, 4.475179337054516]"
"[1.1430175063047845, 4.492476848103449]"
"[1.1429948384067716, 4.507763133841081]"
"[1.1430028967661798, 4.52530690748791]"
"[1.1430045419680628, 4.542275698700953]"
"[1.1429593644647662, 4.557560523177736]"
"[1.1429667780887418, 4.57233102866394]"
"[1.142951709755918, 4.589441273336294]"
"[1.1429367371095855, 4.604546239530866]"
"[1.142936476206376, 4.621817924593797]"
"[1.142940813780485, 4.639290982176029]"
"[1.1429383893086391, 4.65654661498227]"
"[1.1429243143959482, 4.6716753914085185]"
"[1.1429522076921799, 4.6888075925647]"
"[1.1429871736610848, 4.703909196287938]"
"[1.1429673900988186, 4.721472825173981]"
"[1.1429629681571576, 4.738876361667018]"
"[1.1429908765258672, 4.756206632244411]"
"[1.1430197752213684, 4.773859882043709]"
"[1.1429960743777956, 4.791465004395966]"
"[1.1429929929793825, 4.8062298066463365]"
"[1.1430415869254167, 4.821513369432577]"
"[1.1430163599078904, 4.838773841791346]"
"[1.1430597390722783, 4.856327625129455]"
"[1.1430740958400247, 4.873752127236238]"
"[1.143093055301842, 4.8890676817199585]"
"[1.1431083426494262, 4.906537868732674]"
"[1.143145685056043, 4.924006035558555]"
"[1.1431443447750325, 4.939236056825941]"
"[1.1431349374674515, 4.956847963553703]"
"[1.1431911880139638, 4.974091720729017]"
"[1.143216772674687, 4.98923740866896]"
"[1.1432021190691604, 5.0041616290424455]"
"[1.1432172170139192, 5.021469662052107]"
"[1.1432807921559114, 5.038775161250761]"
"[1.1432652012466782, 5.056491491308071]"
"[1.143282265489936, 5.071926983226131]"
"[1.143301528007145, 5.0896606768748995]"
"[1.1433187626709223, 5.107281253177472]"
"[1.14331483819949, 5.124989775254705]"
"[1.1433622288450578, 5.142558811619365]"
"[1.1433818266489337, 5.157723209578222]"
"[1.1433604177713752, 5.175148503696341]"
"[1.1434094250640483, 5.192691839204399]"
"[1.1434621755287544, 5.207831512602535]"
"[1.143468132644886, 5.222356070493416]"
"[1.143462694722452, 5.2375584088456035]"
"[1.1435187038453054, 5.254732127316382]"
"[1.1434805368314467, 5.26997135731008]"
"[1.143544514119472, 5.28716683293815]"
"[1.1435773108431466, 5.302302783255011]"
"[1.1435581471111116, 5.3197970662473235]"
"[1.1436013328275272, 5.331931216277399]"
"[1.1436307978039646, 5.349466254463272]"
"[1.143652241018188, 5.366872671589862]"
"[1.14363380846589, 5.3820782252961195]"
"[1.1437680549129619, 5.399538865569179]"
"[1.1437200717982026, 5.417177427982735]"
"[1.143798194499397, 5.434491501078502]"
"[1.1438138339516517, 5.449882187642822]"
"[1.1438904316193044, 5.467315114201879]"
"[1.1438662803216404, 5.484943148858989]"
"[1.1439669667900476, 5.502068862696476]"
"[1.1439904532839609, 5.51750126802379]"
"[1.1440031853619708, 5.5349191845150125]"
"[1.1440286914112139, 5.552319004245186]"
"[1.1442301656254519, 5.567363089655031]"
"[1.1441755617540874, 5.58231501064506]"
"[1.14416002726137, 5.599459447496488]"
"[1.1443694677760918, 5.616718684931386]"
"[1.1443353444027007, 5.6318982069298285]"
"[1.1444017079502842, 5.64931331337653]"
"[1.1444355932749313, 5.66439338209583]"
"[1.1445600646243579, 5.681814827653153]"
"[1.144523219693348, 5.6990792941803585]"
"[1.1446643742492917, 5.714199817047947]"
"[1.1446878633131465, 5.731317119669421]"
"[1.1447057328888621, 5.746438784320227]"
"[1.1448346289979445, 5.763874387946532]"
"[1.144929882830571, 5.781411571665623]"
"[1.1449681084910939, 5.799017454767052]"
"[1.1449720855454384, 5.816593980578032]"
"[1.1451729635962906, 5.833947141435889]"
"[1.1452893190308497, 5.851545089041301]"
"[1.145330947323866, 5.866618227762252]"
"[1.1453112388125368, 5.883870636113182]"
"[1.1456293548562029, 5.895972339400568]"
"[1.1455944124815964, 5.913504634108327]"
"[1.1457390083210164, 5.928344675752435]"
"[1.1457582288090247, 5.945703155065623]"
"[1.1458534255029567, 5.962917917120537]"
"[1.1458280161277212, 5.977833715342126]"
"[1.146054138384101, 5.992526354815088]"
"[1.1461054516934108, 6.0075914458187905]"
"[1.146126356099658, 6.024300730763105]"
"[1.1464181838737395, 6.039554797801723]"
"[1.1464786799266538, 6.056923699337712]"
"[1.1466457809501864, 6.074535691344548]"
"[1.146590030779118, 6.092220283609353]"
"[1.1468215877315968, 6.10967067714523]"
"[1.146950874796881, 6.127191828089852]"
"[1.147140206031691, 6.144689609881312]"
"[1.1470697096691445, 6.159961587906389]"
"[1.147290838418366, 6.177313218054319]"
"[1.1474519414006819, 6.194627012754227]"
"[1.14762986381573, 6.212231236453209]"
"[1.1476847355261257, 6.229762705106774]"
"[1.1478069726934736, 6.244928411300029]"
"[1.1480461021124921, 6.262476222379005]"
"[1.148191634843025, 6.280011530740492]"
"[1.1483044341661952, 6.297451246953244]"
"[1.1483829772729053, 6.312478515211561]"
"[1.1485805450554274, 6.327745834695005]"
"[1.1487275352507462, 6.344809711101601]"
"[1.1488890658325166, 6.362176135620873]"
"[1.1488920559837077, 6.3773252305839145]"
"[1.1491471156883113, 6.39486004133629]"
"[1.1493083879872676, 6.409692403668999]"
"[1.149433038426298, 6.424202918062976]"
"[1.1495640702806589, 6.4423600556290355]"
"[1.149619420542103, 6.453405463705847]"
"[1.1498365618752813, 6.471619409889022]"
"[1.1499708917504399, 6.4833513972490815]"
"[1.1501593097004534, 6.501130489949838]"
"[1.1502248258410108, 6.518718430860272]"
"[1.150452536494099, 6.536095352413345]"
"[1.150645249496092, 6.551190988534265]"
"[1.1508056073778739, 6.568553297156034]"
"[1.1508833159609035, 6.586168743512345]"
"[1.151080116427975, 6.603658186688557]"
"[1.1513005808546293, 6.6189698040536245]"
"[1.1514721701457369, 6.636638371755541]"
"[1.1516032970359331, 6.6514755711654505]"
"[1.1517067236284086, 6.668885171783843]"
"[1.1519579401059805, 6.684091797506332]"
"[1.1521401420012654, 6.7014856341143885]"
"[1.1523437423901601, 6.7188956520809]"
"[1.1524036150855304, 6.73391729858862]"
"[1.1525979313951047, 6.751564234667559]"
"[1.152756397579649, 6.768972233191384]"
"[1.1529261647139377, 6.7867038808892906]"
"[1.1529881840351766, 6.801332752647503]"
"[1.1531675213005657, 6.819012963705725]"
"[1.1533727839115664, 6.836452357377691]"
"[1.1535629419618834, 6.853988651891942]"
"[1.1536338252106868, 6.869199453083314]"
"[1.153705606146825, 6.880556274326383]"
"[1.1537579464824361, 6.88569957254712]"
"[1.153793725083661, 6.887693112374265]"
"[1.1539304203611815, 6.896444080331665]"
"[1.1540567341788812, 6.906259378211808]"
"[1.1542299926657775, 6.921468705315339]"
"[1.15439582723647, 6.935613467974015]"
"[1.1541869148177548, 6.923664822722588]"
"[1.1542709574600316, 6.9274003567021785]"
"[1.1543737554445617, 6.932316598631514]"
"[1.1542549379809688, 6.930992523836723]"
"[1.1542869025922513, 6.935211868911675]"
"[1.154321966191096, 6.942630167402777]"
"[1.1543235002143977, 6.943412325203679]"
"[1.1544873849882147, 6.9635807714906095]"
"[1.1547112399828374, 6.977558384483095]"
"[1.1547596627259338, 6.989406002915147]"
"[1.1549595414153928, 7.00701592905438]"
"[1.155001482606606, 7.0242106855648485]"
"[1.1552269125280867, 7.041635254811538]"
"[1.155247862736047, 7.056595223043165]"
"[1.1554431746780292, 7.073981778900781]"
"[1.1554746268970724, 7.091217550335436]"
"[1.1556796224990287, 7.106570784834235]"
"[1.1557878434806623, 7.123633193024207]"
"[1.1559829042989938, 7.140961125761002]"
"[1.1559603284121376, 7.153211185263323]"
"[1.1560387533797003, 7.170696506701943]"
"[1.1562800730093254, 7.1881097375479275]"
"[1.1563513699528847, 7.205501375716321]"
"[1.156433700555479, 7.223119013827037]"
"[1.1564384148025455, 7.240376636448655]"
"[1.1565724103154253, 7.2576528832548926]"
"[1.1566877230588735, 7.272497531786608]"
