"[1.1429512727131244, 3.468911715412081]"
"[1.142852477865529, 3.485969830954822]"
"[1.1429301088580568, 3.502648700247535]"
"[1.1429324032059232, 3.519767526941731]"
"[1.1429869217916984, 3.5345646545838107]"
"[1.1429339090943365, 3.5498094335042394]"
"[1.142884964970883, 3.5637569940044185]"
"[1.142935624004322, 3.575777345928227]"
"[1.1429687231031171, 3.5929958473749743]"
"[1.1428637929842538, 3.607475255123679]"
"[1.1428740582961001, 3.625115361861755]"
"[1.1427505331357841, 3.63945291322871]"
"[1.142774490924276, 3.6562861037725276]"
"[1.1427217231375768, 3.6711498589155385]"
"[1.1425236845322477, 3.688565420718971]"
"[1.142668090206551, 3.696887938924506]"
"[1.1424642599907404, 3.714988399649937]"
"[1.1425525706484836, 3.726756695656798]"
"[1.1425023699850385, 3.739736947230373]"
"[1.142437427965362, 3.7461950066720426]"
"[1.1424166050388198, 3.7537219568344575]"
"[1.1421717209975069, 3.7688188725264014]"
"[1.1421494582580478, 3.7834658998445208]"
"[1.1421657090298145, 3.801162750945585]"
"[1.1420812376482785, 3.8124607744694985]"
"[1.1419333100570617, 3.8305712785454973]"
"[1.141881812622953, 3.8421078492855343]"
"[1.1417769285120187, 3.859657240802332]"
"[1.1418683835377168, 3.871610940080132]"
"[1.1417123630338692, 3.889336760547176]"
"[1.1415895012579549, 3.9043411485180406]"
"[1.141521311026603, 3.919052153271568]"
"[1.1414416085995056, 3.9337752545882823]"
"[1.1415094140436695, 3.951577621084221]"
"[1.1413098534347135, 3.9661255389615935]"
"[1.1412631830089888, 3.981229209175941]"
"[1.141106654606969, 3.9978628089786583]"
"[1.1411418856577151, 4.01259029878495]"
"[1.1409774841224858, 4.0292891158786635]"
"[1.1408854289951418, 4.044194462871537]"
"[1.1406786544316057, 4.060905092978815]"
"[1.1406412104062897, 4.077457003056696]"
"[1.1405250682178822, 4.094368729843784]"
"[1.1404435646229143, 4.111158445339557]"
"[1.1403698152913728, 4.125373726489312]"
"[1.1402443466789975, 4.141608372434553]"
"[1.1402904539259353, 4.156501410747844]"
"[1.1401169083996445, 4.171198156266106]"
"[1.1399973381718942, 4.1884364044825295]"
"[1.139907263181294, 4.203137329283063]"
"[1.1399216426503984, 4.218073591562454]"
"[1.1399524179096292, 4.232237130478631]"
"[1.1397774903479698, 4.247442218869073]"
"[1.1396610608490323, 4.262173865819077]"
"[1.1396048739931444, 4.277004281525931]"
"[1.139559673741444, 4.291704959494737]"
"[1.1395730386559653, 4.306684096823869]"
"[1.1393303273259716, 4.32435714680187]"
"[1.1393211549149425, 4.338763219300488]"
"[1.1392417347620845, 4.356098293979616]"
"[1.13930918185626, 4.3729477702894055]"
"[1.1391603846805212, 4.388239965402374]"
"[1.1391531765090297, 4.40573608286252]"
"[1.1390646398025968, 4.423340438769589]"
"[1.1390601540225664, 4.438151120628969]"
"[1.139008426738693, 4.455774182116486]"
"[1.1389950277283554, 4.47305483009056]"
"[1.1389548901035613, 4.488338892447301]"
"[1.1389765990284137, 4.505741330273489]"
"[1.138924572758576, 4.523519615962581]"
"[1.1389731907970233, 4.540458531465069]"
"[1.1389917631971809, 4.55790469207276]"
"[1.139033776707239, 4.573033368986582]"
"[1.139053923680484, 4.5907348146647085]"
"[1.1391546262900023, 4.607692278904756]"
"[1.1391907987802081, 4.624755195773965]"
"[1.1391907861057817, 4.6396411855540265]"
"[1.1392409140273723, 4.656925806204936]"
"[1.139329745863103, 4.674205667562667]"
"[1.139287375595169, 4.69174426982199]"
"[1.1393270809842377, 4.7092671896096885]"
"[1.139331132495179, 4.726913389845672]"
"[1.1394292149023457, 4.742629824012701]"
"[1.1394390500729765, 4.760102987814261]"
"[1.1394652414722057, 4.77732065780891]"
"[1.1394768283074306, 4.794586163030123]"
"[1.1394890061589351, 4.809735905118829]"
"[1.1395201671773512, 4.827136439402258]"
"[1.1396209593272815, 4.842221879004774]"
"[1.1395976460762933, 4.857087214954988]"
"[1.1395891757633012, 4.874397703638634]"
"[1.139635542048115, 4.889388980355478]"
"[1.1396053685736454, 4.906841122516777]"
"[1.1396523770438198, 4.92193525490048]"
"[1.1396704998254263, 4.939412917528642]"
"[1.1397077893977174, 4.956877384484526]"
"[1.1396843247486363, 4.971730452324507]"
"[1.1397273823742808, 4.989156987449335]"
"[1.1397342821122174, 5.006687124610046]"
"[1.139748243132291, 5.024661426955687]"
"[1.1397191271167426, 5.041838498850698]"
"[1.1397348662803914, 5.059472483823737]"
"[1.1397443777498786, 5.076838748736292]"
"[1.1396433735107712, 5.0923350469597075]"
"[1.1397369568201219, 5.10990598362598]"
"[1.1397868532260784, 5.127390208245308]"
"[1.1397888575770367, 5.14472581883053]"
"[1.1397870881063141, 5.1626775581984425]"
"[1.1398306090703356, 5.18023282801309]"
"[1.1398692046452412, 5.195429560933438]"
"[1.139884030594714, 5.212632847856482]"
"[1.1398247110327104, 5.22814130070751]"
"[1.1399954921810154, 5.245698503510311]"
"[1.1399126542897309, 5.2626654743112935]"
"[1.1400060202957643, 5.277416944843026]"
"[1.1400200688049704, 5.2949120603825435]"
"[1.1400697280484575, 5.312608999516369]"
"[1.1399521195051996, 5.330025829487251]"
"[1.1400171778614772, 5.347415554194829]"
"[1.1400029637976863, 5.362802993065079]"
"[1.1399521684275744, 5.380397813895569]"
"[1.1399053807018777, 5.397373116825608]"
"[1.1399519099189188, 5.414461444190919]"
