"[1.4448586325630763, 1.0131522003489084]"
"[1.444857943054884, 1.013160472496184]"
"[1.4448557525238277, 1.0131543020978142]"
"[1.4448582393967466, 1.0131507021936768]"
"[1.4448557090881433, 1.0131486231020337]"
"[1.4448529159452614, 1.0131470587903264]"
"[1.4448509399192708, 1.0131464532874606]"
"[1.4448503936469634, 1.0131452308259579]"
"[1.4448485429715188, 1.0131449920552236]"
"[1.4448453410634345, 1.0131433043988676]"
"[1.4448421580597937, 1.0131418007022919]"
"[1.4448420532662984, 1.0131410463353152]"
"[1.4448395749741874, 1.0131400504888544]"
"[1.4448365925830404, 1.0131404930345196]"
"[1.4448343416748608, 1.0131375952471822]"
"[1.4448357714694153, 1.0131330932150349]"
"[1.444828954046416, 1.0131333500115403]"
"[1.4448277774659313, 1.0131337935509452]"
"[1.44482598277055, 1.0131336627614085]"
"[1.4448226354616842, 1.0131316676988722]"
"[1.4448186792766935, 1.0131300083709227]"
"[1.4448183480526102, 1.0131295059108896]"
"[1.4448144265574903, 1.0131276055584004]"
"[1.4448117895027637, 1.0131279247219263]"
"[1.4448069382694118, 1.0131251555315133]"
"[1.4448048872498551, 1.013124224519842]"
"[1.4448020830497066, 1.0131215521666637]"
"[1.4448019856067387, 1.0131216736397477]"
"[1.4448013651888318, 1.0131215300835081]"
"[1.4448006479521183, 1.0131213641244883]"
"[1.4447987811804088, 1.0131199292482638]"
"[1.4447987541317513, 1.0131199176968908]"
"[1.4447987419102697, 1.013119912477597]"
"[1.444793083192563, 1.0131172713596266]"
"[1.44479009675792, 1.0131206546160978]"
"[1.4447885757097312, 1.0131156300183113]"
"[1.4447858103327946, 1.0131138677850566]"
"[1.4447834984826482, 1.0131118475098415]"
"[1.4447806999138375, 1.0131113108877037]"
"[1.444776042814463, 1.0131112391294963]"
"[1.4447761883698709, 1.0131085228571015]"
"[1.4447726889555732, 1.0131070719181339]"
"[1.4447698913336309, 1.013105305250461]"
"[1.444766599155337, 1.013104334970354]"
"[1.4447639684011047, 1.0131030919355517]"
"[1.4447603205867918, 1.0131014741160178]"
"[1.444758198093326, 1.0131001251493605]"
"[1.44475437297478, 1.0130987136763348]"
"[1.4447514471058462, 1.0130963122773649]"
"[1.4447480967459747, 1.013095111905944]"
"[1.444744243334169, 1.0130934377070981]"
"[1.4447414232828368, 1.0130914767140096]"
"[1.4447384760597872, 1.013090431082306]"
"[1.4447350130047343, 1.0130889468859885]"
"[1.4447321286466184, 1.0130877600454706]"
"[1.444730057499385, 1.0174015800528142]"
"[1.4447214536923292, 1.0214500861468423]"
"[1.4447183946200912, 1.026212424177033]"
"[1.44471503606024, 1.037472955913502]"
"[1.4446742012151312, 1.047182582657076]"
"[1.4446687803258345, 1.0586397177429834]"
"[1.4446493915784595, 1.070371402069438]"
"[1.4446422928714493, 1.0784592439955574]"
"[1.4446239409395816, 1.0884887152176606]"
"[1.4446281730931505, 1.0942912700816456]"
"[1.444625050577286, 1.1060515675371396]"
"[1.4445919664264504, 1.1159812557907143]"
"[1.4445889446747329, 1.1256929210515176]"
"[1.444584268851144, 1.13574772206703]"
"[1.4445610107588422, 1.1457158188024366]"
"[1.4445559974417432, 1.1554460196481384]"
"[1.4445450145707184, 1.1670483704145427]"
"[1.444542451103372, 1.1769671731662315]"
"[1.4444808357582948, 1.1869533964296493]"
"[1.4445321699683837, 1.1950215224484284]"
"[1.4445064161200865, 1.2065192293563956]"
