"[0.8449218019174083, 1.0129555472885718]"
"[0.8449236978515661, 1.0129563142728069]"
"[0.8449261422900562, 1.0129573031465553]"
"[0.8449343630344073, 1.0129540372964065]"
"[0.8449284678587891, 1.0129533876869186]"
"[0.8448749402553273, 1.0129431791898158]"
"[0.8448832837254449, 1.0129442860324198]"
"[0.8449304208805909, 1.0129508183333928]"
"[0.8449393292012217, 1.0129507361531347]"
"[0.844942868229033, 1.0129494110359163]"
"[0.844931802890056, 1.0129489077607954]"
"[0.8449359085376339, 1.0129495548461345]"
"[0.8449374602749326, 1.0129468730545672]"
"[0.8449311469194015, 1.0129446900121624]"
"[0.8449359998233696, 1.012944584121657]"
"[0.84493688502253, 1.0129427825807389]"
"[0.8449375905172862, 1.0129418090788356]"
"[0.844927108408072, 1.0129438788490428]"
"[0.8449384791016591, 1.0129392898485632]"
"[0.8449299049468385, 1.0129376850061582]"
"[0.8449313332744388, 1.012935789743875]"
"[0.844943810346593, 1.012937119975502]"
"[0.8449398227711246, 1.0129342479153942]"
"[0.8449426711587114, 1.0129324821179158]"
"[0.8449418021151114, 1.0129309695697093]"
"[0.8449371340828653, 1.0129297112675024]"
"[0.8449383209183083, 1.0129280907252636]"
"[0.8449350260693501, 1.0129299022419085]"
"[0.8449312804449388, 1.0129301854811776]"
"[0.8449318725347099, 1.0129281964556922]"
"[0.8449301565109594, 1.0129268850305155]"
"[0.8449390253623388, 1.0129259952896525]"
"[0.8449310056848091, 1.0129228676729372]"
"[0.8449338701897041, 1.012922774917884]"
"[0.8449318746123305, 1.012921199490506]"
"[0.8449264751010102, 1.0129205258742087]"
"[0.8449231871432072, 1.012920248244148]"
"[0.8449186780844418, 1.0129183084161093]"
"[0.8449117052015127, 1.012919386385564]"
"[0.844913519211117, 1.0129134923710597]"
"[0.8449047295553468, 1.0129141145654517]"
"[0.8449026719261206, 1.012915653298139]"
"[0.844899532929756, 1.0129117486714878]"
"[0.8448952301218113, 1.0129117131713168]"
"[0.8448971860725144, 1.0129108296566514]"
"[0.8448926551185919, 1.0129092938935]"
"[0.8448930016218986, 1.0129071510756231]"
"[0.8448867358153972, 1.0129061806332738]"
"[0.8448929844232677, 1.0129062263445228]"
"[0.844897393737699, 1.012901799964738]"
"[0.8449010488243709, 1.0129047602740142]"
"[0.8448871795753277, 1.0129016683136993]"
"[0.8448996961047641, 1.012899250802933]"
"[0.8448968489411692, 1.016234711092577]"
"[0.8448878728661505, 1.0225944756911343]"
"[0.8448886654460199, 1.0314066295582314]"
"[0.8448556645140922, 1.0425167589677509]"
"[0.8448526042246376, 1.0526009099576938]"
"[0.8448457098803134, 1.0622749601615953]"
"[0.8448272078712712, 1.0739937062477023]"
"[0.8448238687222639, 1.0841296003268097]"
"[0.8448154913176192, 1.0955635343341186]"
"[0.8448164181786235, 1.1056109534009184]"
"[0.8447882970996421, 1.1156019543030913]"
"[0.8447849633561896, 1.1270431764901003]"
"[0.8447605257874291, 1.1372124215585935]"
"[0.8447765966967682, 1.1472479735428165]"
"[0.8447616910006234, 1.1588265194727605]"
"[0.8447567973261862, 1.1704966706807773]"
"[0.8447587194759808, 1.180614498125735]"
"[0.8447273521736869, 1.192066282234783]"
"[0.8447201861007908, 1.2022249576378325]"
"[0.8446998306480378, 1.2136710731521276]"
"[0.8446926973004221, 1.223771898587238]"
"[0.8446831964280473, 1.2337651637933222]"
"[0.8446814372879724, 1.2451940173579277]"
"[0.8446384857810743, 1.255361017081997]"
"[0.8446694952451101, 1.267030012606969]"
"[0.8446740945929496, 1.2787145668662068]"
"[0.8446466578080806, 1.2903461848491733]"
"[0.8446441068976753, 1.3005481919680453]"
"[0.844636299545849, 1.3122507880323415]"
"[0.8446332629167429, 1.3239271192221702]"
"[0.8445948560202002, 1.3340890018409495]"
"[0.8445919334864486, 1.3458035068276257]"
"[0.8445763104451904, 1.3575737025914092]"
"[0.8445685764845381, 1.3692446837249814]"
"[0.8445599442934996, 1.3808019147557513]"
"[0.8445572934312862, 1.3909785512102402]"
"[0.8445248361290142, 1.4025466575961258]"
"[0.8445253576432161, 1.412478807325433]"
"[0.8445217787489652, 1.4225347333990204]"
"[0.8445036099611396, 1.4341430163175337]"
"[0.8444980798922798, 1.4441526561895917]"
"[0.8444885284866142, 1.4557456036819005]"
"[0.8444980902832977, 1.4674203775061128]"
"[0.8444496202033969, 1.4790587744561383]"
