"[0.2996718731629352, 1.0468935859481312]"
"[0.29967178164128133, 1.0468898562789577]"
"[0.29966725342418293, 1.0468814056441833]"
"[0.2996641990253242, 1.046874429152569]"
"[0.29966194523943673, 1.0468697864163585]"
"[0.29965611696941513, 1.0468609941437699]"
"[0.2996553381563989, 1.0468547285114562]"
"[0.29965095971970584, 1.0468487602070302]"
"[0.29964896617664666, 1.0468401142826047]"
"[0.2996463825279366, 1.0468322020927683]"
"[0.2996441522729377, 1.0468261987406189]"
"[0.2996390469755317, 1.046817848161422]"
"[0.2996343767383063, 1.0468108365640847]"
"[0.2996358693179375, 1.0467994650032968]"
"[0.2996305367812071, 1.0467942644783559]"
"[0.2996281798120394, 1.0467911488157202]"
"[0.299626479329465, 1.0467845992200402]"
"[0.2996195337802015, 1.046772692886016]"
"[0.29962129288689376, 1.0467654668552615]"
"[0.2996141261912623, 1.0467596663965488]"
"[0.29960423031445005, 1.0467524626405393]"
"[0.2996111056147329, 1.0467421662653054]"
"[0.29960618772020975, 1.046735288801167]"
"[0.2996053508328324, 1.0467277003244901]"
"[0.29960283678989236, 1.0467208178899956]"
"[0.29959782132015134, 1.0467109041482228]"
"[0.2995921226407058, 1.0467075936354242]"
"[0.2995875033217497, 1.0466967700869918]"
"[0.2995899208918544, 1.0466893131236747]"
"[0.2995881110032943, 1.0466821375509903]"
"[0.299583439958691, 1.046677556321339]"
"[0.2995874989597878, 1.0466686327285362]"
"[0.2995775142275495, 1.0466600343830894]"
"[0.2995779301998619, 1.0466529683386565]"
"[0.29961956895317843, 1.051861483088637]"
"[0.2996210371043474, 1.065434609132482]"
"[0.2995446166147314, 1.0799563696432628]"
"[0.29948678857694083, 1.094992343043502]"
"[0.2993427888442178, 1.10977133855329]"
"[0.2992204243130444, 1.124483201634895]"
"[0.2992390963110536, 1.130560269328333]"
"[0.2992736021077466, 1.1317677323426663]"
"[0.29931724012619376, 1.144313464414795]"
"[0.2993426379095486, 1.161553839905222]"
"[0.2991512145395747, 1.1813423431806964]"
"[0.2989945738790423, 1.2010661080623]"
"[0.29902943082649847, 1.22434881800755]"
"[0.2988202940099051, 1.2484324230535968]"
"[0.2986931915486004, 1.2740957110694446]"
"[0.2987099474510448, 1.301066422585231]"
"[0.2987283726017465, 1.3279721842177605]"
"[0.2986962944211977, 1.359301145056376]"
"[0.2985853635421155, 1.3887712809887947]"
"[0.2985511274418196, 1.4177523057905956]"
"[0.2984203086814656, 1.4474806893401333]"
"[0.29836783295465896, 1.4767509459962282]"
"[0.2984049672973829, 1.5056185550274603]"
"[0.29829497134365673, 1.5348512751308292]"
"[0.29826799594533154, 1.564030426613184]"
"[0.29827649520377286, 1.5937778493369243]"
"[0.29828548688834344, 1.622692423607139]"
"[0.2982665034751149, 1.6520796622523908]"
"[0.29810947157047885, 1.6796649866054336]"
"[0.2981969832244856, 1.7109066428952997]"
"[0.2981296511644946, 1.7400138054743088]"
"[0.2980984079111027, 1.7686360509188641]"
"[0.2982095117694091, 1.7982183105926695]"
"[0.29833452981197245, 1.8268990068657256]"
"[0.2983035372682286, 1.853723590491179]"
"[0.2984309875789944, 1.882729499417114]"
"[0.29848854878200004, 1.9114802675145173]"
"[0.2986373827653854, 1.9406588034368883]"
"[0.2984544988359171, 1.9687351986869024]"
"[0.29845023214453165, 1.9973068780915235]"
"[0.29844208811987316, 2.026549008442933]"
"[0.2985096427677097, 2.055484938606357]"
"[0.2986037495167174, 2.0847965444075625]"
"[0.2985072261758681, 2.113908832388274]"
"[0.29845515658199573, 2.1433012352305236]"
"[0.2985366693963827, 2.172796870644444]"
"[0.2985707254545762, 2.2023867289148606]"
"[0.2986376491265328, 2.2318947570652137]"
"[0.2987395609946867, 2.2612800646243487]"
"[0.2987429644893153, 2.2909393243571143]"
"[0.29894791053647224, 2.320392271754872]"
"[0.2990526819247804, 2.34995799118051]"
"[0.29921696474660003, 2.3794229318095548]"
"[0.2993509530225086, 2.4089106527159925]"
"[0.2994356143170959, 2.438501409886845]"
"[0.2994914778177569, 2.4675133075228204]"
"[0.299576615795483, 2.496954975094915]"
"[0.2997895828051163, 2.5263665825586563]"
"[0.2999908499279316, 2.555764870753166]"
"[0.3001126735469945, 2.585299374774075]"
"[0.30042240131427045, 2.613970564400814]"
"[0.3005571675161676, 2.6432027456113563]"
"[0.3008114881455661, 2.6722510613667767]"
"[0.3009763019931547, 2.701738683674199]"
"[0.3012274473264581, 2.731441629961006]"
"[0.30131356590039127, 2.7609588312541304]"
"[0.3013511791338217, 2.790713173584718]"
"[0.3016341299286005, 2.820290683796716]"
"[0.30176134182494213, 2.8496993089595555]"
"[0.30193602755763216, 2.8786949829186366]"
"[0.3019890223496146, 2.90764072253469]"
"[0.3019408706285209, 2.9366341078439633]"
"[0.30214759224103493, 2.965539730388403]"
"[0.3023291305140141, 2.994437708945064]"
"[0.3025114981641273, 3.0232174272101657]"
"[0.3026811657623418, 3.0522267543090487]"
"[0.3027219367150704, 3.081385837021465]"
"[0.30290960336443007, 3.110465840088247]"
"[0.30295949447558423, 3.139668870376923]"
"[0.30311787782330646, 3.168960848879986]"
"[0.3032759395741169, 3.198087832643602]"
"[0.3033802629527729, 3.2251375805417224]"
"[0.3035362483378828, 3.256452380270016]"
"[0.3035311837608848, 3.2858206136861745]"
"[0.30362222720383375, 3.3150131234079123]"
"[0.30368026107651547, 3.3440850290457447]"
"[0.303735124978951, 3.373675009452911]"
"[0.30389441622024227, 3.402446709613331]"
"[0.30380501454610076, 3.4314119085963712]"
"[0.3039654609482516, 3.4605528498175566]"
"[0.3040096263197451, 3.489849566184149]"
"[0.3042270737104055, 3.519226216413146]"
"[0.30430409387804236, 3.548177144798342]"
"[0.3044055449813888, 3.5773483190679602]"
"[0.3045447533903329, 3.6059818422680237]"
"[0.3045843823304083, 3.6350465110785257]"
"[0.3047156174284531, 3.6642564618312594]"
"[0.30476773225404447, 3.693181136759588]"
"[0.3047308942777718, 3.71959938655102]"
"[0.30491948021281035, 3.7501127980067865]"
"[0.30479378085303604, 3.751629218409526]"
"[0.3048613615978487, 3.786441737756248]"
"[0.30514537496108163, 3.8167067215708825]"
"[0.30516181297283507, 3.846456909149151]"
"[0.3053196314242707, 3.8762603237846918]"
"[0.30550777788742334, 3.9054808744006997]"
"[0.30563039808915377, 3.9346743613345723]"
"[0.305792145818491, 3.963857959044749]"
"[0.305801053870935, 3.993213980925008]"
"[0.3059388139569725, 4.022697936779693]"
"[0.3058793234474808, 4.052162969042776]"
"[0.30613916744672404, 4.081373141189608]"
