"[1.222053905114001, 0.9721625927536504]"
"[1.2220708472399309, 0.9721535959115521]"
"[1.2220443729297097, 0.9721718017050401]"
"[1.22205717500893, 0.9721716039161012]"
"[1.2220553966694396, 0.9721809593116156]"
"[1.2220557818459967, 0.9721867985006158]"
"[1.2220623098595305, 0.9721872778428319]"
"[1.2220677642592899, 0.9721893907252447]"
"[1.22207096104138, 0.9721925053465158]"
"[1.2220725675407986, 0.9721953958293164]"
"[1.2220761341374338, 0.9721975081403035]"
"[1.2220791429981055, 0.9722047531477535]"
"[1.222081915105346, 0.9722046124263561]"
"[1.2220845165222056, 0.9722080101787139]"
"[1.2220855728303524, 0.9722134956510274]"
"[1.2220944271729983, 0.9722134406457438]"
"[1.222098672457475, 0.9722179117505458]"
"[1.222100849039644, 0.9722225969888476]"
"[1.222100252094856, 0.9722279824188703]"
"[1.2221058567958183, 0.9722288520556907]"
"[1.2221053363975405, 0.9722309387295391]"
"[1.2221081751602785, 0.9722339047384553]"
"[1.2221101542579917, 0.9722359945705411]"
"[1.222113987572617, 0.972241398397366]"
"[1.2221269235426129, 0.9722382267634112]"
"[1.222149033328725, 0.972224885038897]"
"[1.2221843802811956, 0.9722035551513604]"
"[1.2221111354964564, 0.9722520062509198]"
"[1.2221117074570202, 0.9722570619882945]"
"[1.2221169953355318, 0.9722573224285964]"
"[1.2221156509745241, 0.9722657833492871]"
"[1.2221185060138278, 0.9722714056296022]"
"[1.2221215160168204, 0.9722745184026882]"
"[1.2221277448911436, 0.9722779655507853]"
"[1.2221277737944798, 0.9722847286530569]"
"[1.22212632044067, 0.9722889892303336]"
"[1.2221343857789986, 0.9722893932647754]"
"[1.2221291282949491, 0.9722991865362235]"
"[1.2221366705601386, 0.972299862839005]"
"[1.2221319216012554, 0.9723050262442504]"
"[1.2221267148860164, 0.9723134511699667]"
"[1.2221342616836237, 0.9723119992810697]"
"[1.2221429915572044, 0.9723089556269122]"
"[1.2221425683658755, 0.9723141049415375]"
"[1.222147699612531, 0.9723161754187055]"
"[1.2221413738944389, 0.9723258501791386]"
"[1.2221506948093745, 0.9723226902433182]"
"[1.2221473691278653, 0.9723296717967327]"
"[1.2221503580211746, 0.972325940889522]"
"[1.2221560859909448, 0.972327001722692]"
"[1.2221589098406707, 0.9723304047649011]"
"[1.2222071818388232, 0.9731885321678229]"
"[1.2227152645410146, 0.9876286439893197]"
"[1.2233922254107015, 1.0065259763201515]"
"[1.2239159149786396, 1.0261567657532376]"
"[1.2244189804746242, 1.0456414625433332]"
"[1.2250317812995344, 1.0652427177461379]"
"[1.225746630509191, 1.084978207217493]"
"[1.2262731469353476, 1.1046270212473248]"
"[1.2268066965928217, 1.1242410641938088]"
"[1.2274425378271656, 1.1438726585936647]"
"[1.2280617820174113, 1.1635676042902205]"
"[1.2285905442581024, 1.1831095910395335]"
"[1.229169812755451, 1.2027058850763597]"
"[1.2298352052706363, 1.222310599889053]"
"[1.2303636789758217, 1.2419524381233713]"
"[1.230868648034686, 1.2613961023767317]"
"[1.231482061746666, 1.28094716733385]"
"[1.2321984116617886, 1.3006314296127128]"
"[1.232686553083232, 1.3201562605633783]"
"[1.2332120627438685, 1.3396432847946016]"
"[1.2338290993983616, 1.3592111680606744]"
"[1.2344077173681522, 1.3788357908770552]"
"[1.2348955965521018, 1.398292442540658]"
"[1.235497064933308, 1.4177934306344804]"
"[1.236163170269785, 1.4373770344073578]"
"[1.2366627338593077, 1.4569813962529476]"
"[1.2371841678624302, 1.4764411951817866]"
"[1.2377679072314134, 1.4959219959371965]"
"[1.2384316542907448, 1.5155662429046344]"
"[1.23893303853515, 1.5350197012184994]"
"[1.239494867156147, 1.5544442484654375]"
"[1.240110226648728, 1.573968014222861]"
"[1.24066591426379, 1.5935915855915326]"
"[1.24116678790899, 1.6129938574768348]"
"[1.2417453224347719, 1.632489509156987]"
"[1.2424290946679233, 1.6519933800566164]"
"[1.2428934598897852, 1.6715590731215006]"
"[1.2434291103709583, 1.6910492500680832]"
"[1.244024252549606, 1.7105855945344917]"
"[1.2446605937434845, 1.7302503851208493]"
"[1.2451869619319305, 1.7497640975948643]"
"[1.2457150883397508, 1.769288638273336]"
"[1.2463434392443662, 1.7888611884238752]"
"[1.2468841109670261, 1.8085397666759544]"
"[1.247448286149195, 1.827981360177663]"
"[1.248030956152246, 1.847552973764403]"
"[1.2487110724489356, 1.8672487615682851]"
"[1.2492109398740028, 1.8868057373559541]"
"[1.2496947231298625, 1.9048047863861484]"
"[1.2503462069387135, 1.9258007283600826]"
"[1.2509636398346684, 1.9455820601622873]"
"[1.2514804255583996, 1.9651966419104434]"
"[1.2520637779714294, 1.9848309817339258]"
"[1.2526959300306506, 2.004536639905704]"
"[1.253212660630763, 2.0242794074611954]"
"[1.2536877549099048, 2.042161623624675]"
"[1.2543099238184527, 2.0615926345666873]"
"[1.2548562669303873, 2.0780284585674695]"
"[1.2553873543872247, 2.0990519985606655]"
"[1.2559358462961452, 2.1187046159876792]"
"[1.2565092422075852, 2.138358603629242]"
"[1.2571507096507657, 2.158108716055414]"
"[1.2576536487594971, 2.1777364898554565]"
"[1.2581990109772996, 2.1973896118578695]"
"[1.2588393273946408, 2.217068209530715]"
"[1.2593318404518463, 2.2368772073186376]"
"[1.2598560250287798, 2.256367414143772]"
"[1.2604740565931982, 2.2760691640304835]"
"[1.2611583042156271, 2.2957968232865555]"
"[1.261637200809166, 2.3154635992184174]"
"[1.262164241594628, 2.335064037534911]"
"[1.2627504592057712, 2.354802405929543]"
"[1.2633550940734197, 2.374364205490086]"
"[1.2638928000208727, 2.393959523082112]"
"[1.2644319621705487, 2.4135698020559353]"
"[1.2650846308415422, 2.43297734956347]"
"[1.265492323144844, 2.451001331581693]"
"[1.26592662890082, 2.466827157616826]"
"[1.26624014955232, 2.4816960665854446]"
"[1.2667498545219193, 2.496073380857482]"
"[1.2670800660571038, 2.5107510812557736]"
