"[1.3448684951269865, 1.0131529015768206]"
"[1.3448689259746267, 1.0131523866288097]"
"[1.3448660638146581, 1.013153672389643]"
"[1.3448630934975285, 1.013150325286928]"
"[1.3448573853129429, 1.0131517471698772]"
"[1.3448588593412736, 1.0131517540863837]"
"[1.3448563458609473, 1.0131515415162173]"
"[1.344852325564124, 1.013152124672391]"
"[1.3448558046200259, 1.0131500820491166]"
"[1.3448561468661737, 1.0131483945215949]"
"[1.3448532712626964, 1.013140164290597]"
"[1.3448509041972956, 1.013133733389445]"
"[1.3448526967270762, 1.0131417751057448]"
"[1.344852421404051, 1.0131418295267425]"
"[1.3448506369564504, 1.0131453906791632]"
"[1.3448486696551016, 1.0131446616741042]"
"[1.3448451603920635, 1.0131431713042576]"
"[1.3448431470925706, 1.013141121291487]"
"[1.3448436293711494, 1.0131388090772584]"
"[1.344839021883102, 1.0131380082343777]"
"[1.3448374173286597, 1.0131385776078994]"
"[1.3448342308717887, 1.013137611289085]"
"[1.3448322013907468, 1.0131368423731797]"
"[1.344829558335, 1.0131346883260255]"
"[1.3448264378955652, 1.013134116281921]"
"[1.3448252813461277, 1.013132249391385]"
"[1.3448223890615574, 1.0131314095189035]"
"[1.3448181909573846, 1.0131300686780402]"
"[1.3448167865449994, 1.0131282873371772]"
"[1.3448136924420038, 1.0131274457336117]"
"[1.3448104780380417, 1.0131261032738716]"
"[1.3448070290096354, 1.0131250918112003]"
"[1.3448035103987261, 1.0131240599410667]"
"[1.3448063018057208, 1.0131242028598273]"
"[1.344807299158146, 1.013123856121604]"
"[1.3448048219131847, 1.0131228104276757]"
"[1.3448017173580653, 1.013121896259185]"
"[1.3448013837480102, 1.0131177852793423]"
"[1.3447969272396192, 1.0131170492335873]"
"[1.3447951865432106, 1.0131188112422134]"
"[1.344791154640503, 1.0131160950629772]"
"[1.344788471812064, 1.0131147632108024]"
"[1.3447848351335285, 1.0131132929866817]"
"[1.3447819819126463, 1.0131112660354147]"
"[1.344778721890662, 1.0131096500074286]"
"[1.344777204142682, 1.0131076723871157]"
"[1.3447728727369401, 1.0131071161493863]"
"[1.3447690681573392, 1.0131053373705146]"
"[1.344766301990996, 1.0131041102777252]"
"[1.3447637875649043, 1.013103137978891]"
"[1.3447642985374515, 1.0131020793568355]"
"[1.3447593501876869, 1.0131002339278032]"
"[1.3447558587549582, 1.0130990549689274]"
"[1.3447531005896731, 1.013097426517168]"
"[1.3447516807340605, 1.013096692794461]"
"[1.34474953054748, 1.013278851582225]"
"[1.3447488464377133, 1.0171681159882315]"
"[1.3447381629835733, 1.0227303047894762]"
"[1.3447363491711088, 1.0297619946968743]"
"[1.3447452006685408, 1.0393783801606244]"
"[1.3446967776696725, 1.0490500822227709]"
"[1.344686619654433, 1.0589433436930673]"
"[1.3446621762454873, 1.0702847189753117]"
"[1.3446647152709053, 1.078611810710757]"
"[1.3446506686496489, 1.088253978378264]"
"[1.3446560851707303, 1.098418774920909]"
"[1.344658049209058, 1.109916937302733]"
"[1.3445896287123458, 1.1198607969350864]"
"[1.3445878437897871, 1.1297192753277867]"
"[1.344564035607953, 1.1396141444982193]"
"[1.3445705603765405, 1.1495254868575047]"
"[1.3445556022454108, 1.1593484916883559]"
"[1.3445505704937137, 1.1709766116418576]"
"[1.344562445849269, 1.1810201161145986]"
"[1.3445345264951076, 1.191002534332297]"
"[1.3445281036857868, 1.2006573788043695]"
"[1.3445035068283515, 1.2122996796962004]"
"[1.3445189608842092, 1.2238633189419372]"
"[1.3444978766564437, 1.2339907385575948]"
"[1.344506120028594, 1.2437506765069315]"
"[1.3445108355194508, 1.2538111259797982]"
"[1.3444489300970557, 1.2637288096635055]"
"[1.3444473827798586, 1.2750399742254703]"
"[1.3444314431100575, 1.2851794836047348]"
"[1.3444262310419943, 1.2968105375942676]"
"[1.3444196572952267, 1.3066319696539366]"
"[1.3444198199046515, 1.318335895796171]"
"[1.3443675076193349, 1.330023107007562]"
"[1.3443818229503481, 1.3418421033765389]"
"[1.3443636140249673, 1.3520257050705033]"
"[1.3443661352509613, 1.3620311821756863]"
"[1.3443528400213454, 1.3718054783049836]"
"[1.3443464955482756, 1.38322221649678]"
"[1.344351561951168, 1.393287210829322]"
"[1.3443401365970362, 1.404785065773419]"
"[1.3443423666796288, 1.4148922951298404]"
"[1.344328904736663, 1.4264891544321103]"
"[1.3443231811675105, 1.4380205196150542]"
"[1.3443170558227748, 1.4481377414545076]"
"[1.3443249832994209, 1.4596343509007772]"
"[1.3443106265474178, 1.469680322368274]"
"[1.344306208344072, 1.4796940728482428]"
"[1.3442925264845855, 1.4895332404407942]"
"[1.3442752049321227, 1.4969529517814324]"
"[1.3442728966165485, 1.5071939859896608]"
"[1.3442705620032995, 1.514673603824657]"
"[1.3442679861867746, 1.5247973886029436]"
"[1.344285049330321, 1.5363422942530254]"
"[1.3442186690363878, 1.5458491215050743]"
"[1.344226918091505, 1.556084381380457]"
"[1.344213545307406, 1.5673198035212366]"
"[1.3442171738242066, 1.5775262967103314]"
"[1.344204295279844, 1.5873408195542253]"
"[1.344200134973275, 1.5988519501281313]"
"[1.3442030852846365, 1.6089181224121003]"
"[1.3441795320660253, 1.6204184305883165]"
"[1.3441755455621434, 1.6320843113620551]"
"[1.3441554264174413, 1.6436820025758399]"
"[1.3441518687620777, 1.655314356761509]"
"[1.3441456394485805, 1.6655001234261677]"
"[1.3441464248954123, 1.6771821922811045]"
"[1.3441015173237134, 1.6887880126483321]"
"[1.3440967777668198, 1.7005520456922243]"
"[1.344084618743358, 1.7122313357114327]"
"[1.3440780806825947, 1.7238049646986697]"
"[1.3440705493849106, 1.733953491640303]"
"[1.344070382746223, 1.7456021415660108]"
"[1.3440321829290265, 1.7572799878115064]"
"[1.344054470667188, 1.7689049562368933]"
"[1.344027824576647, 1.7806096899020756]"
"[1.3440243568343242, 1.7920972276491198]"
"[1.344020071231978, 1.800358773841413]"
"[1.344016629237919, 1.811965753132222]"
"[1.344017273113735, 1.8216384775100443]"
"[1.3439857198074265, 1.8331422045461963]"
"[1.3439799240329073, 1.8429205195658538]"
"[1.3439631154756504, 1.8531514256183022]"
"[1.3439650532300405, 1.864782476359007]"
"[1.343955507361345, 1.87473156175949]"
"[1.3439567802759398, 1.8863355019673314]"
"[1.343933404111031, 1.8961751503299955]"
"[1.3439303526064652, 1.9076842324001033]"
"[1.34392322622722, 1.9174343470231143]"
"[1.3439110304680313, 1.9289513488315624]"
"[1.3439064610529696, 1.9387861370353858]"
"[1.343902495619425, 1.9489690278706604]"
"[1.343900633897867, 1.9587564031955182]"
"[1.3438621066414487, 1.9686965792498583]"
"[1.3438653943087937, 1.978318023948576]"
"[1.343859845762619, 1.9899784754301035]"
"[1.3438472129444348, 1.9996201844436692]"
"[1.3438443685994057, 2.0098310671886694]"
"[1.3438394454939264, 2.0210954586301018]"
"[1.3438586061084912, 2.0312925596101046]"
"[1.34383662043393, 2.0407360147197786]"
"[1.343837896370403, 2.051051065236823]"
"[1.3438376004689314, 2.062587901947784]"
"[1.3438242352389114, 2.074281624990674]"
"[1.3438171198296727, 2.0860495689870544]"
"[1.3438135236541973, 2.097638603393697]"
"[1.3438067946963395, 2.10936078381404]"
"[1.3437803649078526, 2.117534242041614]"
"[1.3437789703305938, 2.1276327919502958]"
"[1.3437686060423422, 2.136866331605299]"
"[1.3437618961211615, 2.147123133761447]"
"[1.343755699276007, 2.1567822416848133]"
"[1.3437633524332167, 2.16690351922906]"
"[1.343768028804427, 2.1782920424429433]"
"[1.3437368238406096, 2.188301075463137]"
"[1.3437402343794431, 2.19821686033436]"
"[1.3437360279859087, 2.2079773797421325]"
"[1.343733427161085, 2.215992799604]"
"[1.3437307176980084, 2.226125362725781]"
"[1.3437277510011763, 2.2356293831445817]"
"[1.3437282811736517, 2.2416767026433773]"
"[1.3437289508364736, 2.2495851888719387]"
"[1.3436931911433598, 2.2593784507959014]"
"[1.343686581742723, 2.268937481015788]"
"[1.3436799663764771, 2.27857546827399]"
"[1.343663447428745, 2.2886432611752987]"
"[1.3436625058192362, 2.298560630724181]"
