"[1.1428973055203462, 1.0336858172652634]"
"[1.1428966849418825, 1.033696464824159]"
"[1.1428939868838113, 1.033705446860726]"
"[1.1428941805599586, 1.0337158281932282]"
"[1.1428900873798549, 1.0337200602721692]"
"[1.1428880490705078, 1.033731088145524]"
"[1.1428852201782622, 1.0337352350950004]"
"[1.1428821396775426, 1.033742696169027]"
"[1.142881500364688, 1.0337550046914752]"
"[1.1428807604623963, 1.033764982413983]"
"[1.1428782113785803, 1.0337686085967817]"
"[1.1428725109690063, 1.0337736386670224]"
"[1.1428688905524167, 1.0337823590683848]"
"[1.1428635256700506, 1.0337891618519013]"
"[1.14285959771855, 1.0337967267614527]"
"[1.1428583814253797, 1.0338060806499174]"
"[1.1428559101432985, 1.0338117961245727]"
"[1.1428535458263025, 1.033816311442695]"
"[1.1428546674582247, 1.0338249113741793]"
"[1.1428527725830167, 1.0338346116652897]"
"[1.1428480199187359, 1.033837181902432]"
"[1.1428436436142677, 1.033843066155033]"
"[1.1428403825215037, 1.0338463639557969]"
"[1.1428340392808027, 1.0338507208439067]"
"[1.1428338973967118, 1.0338552618983612]"
"[1.1428286545300725, 1.0338622174394179]"
"[1.1428249822958205, 1.0338707520442332]"
"[1.1428206393532414, 1.0338758739101939]"
"[1.1428162859455202, 1.033880717959918]"
"[1.1428112387825353, 1.03388616591583]"
"[1.1428032404406707, 1.0338896842269722]"
"[1.1428034396131825, 1.033897699038799]"
"[1.1427985223733432, 1.0339062670836279]"
"[1.1427936397233855, 1.0339084985486207]"
"[1.1427892815896568, 1.0339162398219892]"
"[1.1427847486418625, 1.0339197486693852]"
"[1.142780748320264, 1.0339262495332147]"
"[1.1427763134757556, 1.0339333161099487]"
"[1.1427715193488264, 1.033938973272312]"
"[1.1427668502020991, 1.0339446123356557]"
"[1.1427622351625795, 1.033951289812342]"
"[1.1427580085629667, 1.0339565858211954]"
"[1.1427541266693597, 1.033961911794647]"
"[1.1427491134285237, 1.0339669838021763]"
"[1.1427450275165234, 1.0341006885364235]"
"[1.1427221801807113, 1.0410000589147606]"
"[1.142683566557829, 1.0524944348153054]"
"[1.1426898586696497, 1.0654966257109098]"
"[1.1426497080368965, 1.0773760205327436]"
"[1.1426598384549314, 1.090691212527469]"
"[1.142686370168749, 1.1029706812255002]"
"[1.1426642975534194, 1.1147743289522003]"
"[1.1426397535470387, 1.1271957082975732]"
"[1.142635958220401, 1.1395613724973128]"
"[1.1426245337291343, 1.1520601652190319]"
"[1.1426158335080328, 1.1646138147699772]"
"[1.142613955999686, 1.1771497335119203]"
"[1.142607616017845, 1.1896467476708874]"
"[1.1426165969010498, 1.2017171614346318]"
"[1.1425953855787987, 1.2136955024693108]"
"[1.1425896492999925, 1.2260570736629135]"
"[1.1425875282811608, 1.237290031233349]"
"[1.1425826728602584, 1.2488139882224896]"
"[1.142581391509085, 1.260841037887368]"
"[1.142576925881377, 1.271567485987868]"
"[1.1425644371414407, 1.2826385837738892]"
"[1.1425350349559829, 1.2938925483665866]"
"[1.1425399949195552, 1.3054296862668013]"
"[1.142523409005289, 1.3173422170427673]"
"[1.1425245222550737, 1.3290563901904942]"
"[1.1425038364736315, 1.3408687176742233]"
"[1.142518916714912, 1.3527128547071352]"
"[1.1425004537836436, 1.3648386164054565]"
"[1.1424929453158865, 1.3750491438377819]"
"[1.1424887794343883, 1.3889484408438346]"
"[1.142481416569406, 1.405337240400782]"
"[1.1424751606404124, 1.417939734358074]"
"[1.1424689162315156, 1.430515379117846]"
