"[1.1425435067172058, 1.0342435370478915]"
"[1.142544462542736, 1.034253261249013]"
"[1.1425372804479645, 1.0342581406705043]"
"[1.142529478291908, 1.0342629359445095]"
"[1.1425291085634834, 1.0342700043959576]"
"[1.1425197679571621, 1.0342757322153666]"
"[1.142521351409668, 1.0342831545410196]"
"[1.1425132510931861, 1.0342872028608865]"
"[1.1425093799656805, 1.0342934122126226]"
"[1.1425056442585246, 1.0343000435282659]"
"[1.1424979449779151, 1.034306088496177]"
"[1.142492230984113, 1.0343131256229487]"
"[1.1424932238345884, 1.0343184754790513]"
"[1.1424881837766907, 1.0343244734041548]"
"[1.1424885815270343, 1.0343313287440463]"
"[1.142478402061398, 1.0343378914287078]"
"[1.1424743354556413, 1.0343398093032516]"
"[1.1424713154697783, 1.0343482474130183]"
"[1.142468191752802, 1.0343532752444553]"
"[1.1424639856380387, 1.0343578883710265]"
"[1.1424630725401508, 1.0343663329370463]"
"[1.1424560960574204, 1.0343694358435238]"
"[1.142450877832252, 1.034377924228417]"
"[1.1424485519006715, 1.0343824031574007]"
"[1.1424476830835102, 1.034391954893863]"
"[1.1424380615186374, 1.0343941366170175]"
"[1.1424326275950802, 1.034401636028363]"
"[1.1424330886344034, 1.0344054149450048]"
"[1.1424303623910679, 1.0344119893887518]"
"[1.1424285034650656, 1.0344195049257543]"
"[1.142419652542501, 1.0344234110924506]"
"[1.1424149921308235, 1.0344324834658052]"
"[1.1424143597884566, 1.0344420590544583]"
"[1.1424178437317212, 1.03444782997451]"
"[1.142411168710713, 1.0344560783448027]"
"[1.1424105589204512, 1.034462006962255]"
"[1.1424067768634116, 1.034466964861276]"
"[1.142401365567092, 1.0344716655311226]"
"[1.1423988828086677, 1.034481515990143]"
"[1.1423939047467686, 1.0344878525980459]"
"[1.1423936234185372, 1.0344941614410463]"
"[1.1423873285165016, 1.0344998206412928]"
"[1.142383103242025, 1.0345049748075745]"
"[1.1423569533287095, 1.0370970478347248]"
"[1.1422984675788657, 1.0471728023371532]"
"[1.1422202213497494, 1.0565489678656028]"
"[1.142139806313125, 1.064210170327345]"
"[1.142274303824199, 1.073991098372871]"
"[1.1422500442396728, 1.0824159144853134]"
"[1.1421287855843871, 1.0914023972144686]"
"[1.1420400090062217, 1.1005179304840127]"
"[1.1419768652443225, 1.1079556976806235]"
"[1.1419506444342042, 1.1161009019926118]"
"[1.142131915454615, 1.1236008537197955]"
"[1.1420778568406678, 1.1322001851705283]"
"[1.1422558672705896, 1.142973405787874]"
"[1.1422373030566262, 1.1532079479783415]"
"[1.1423314669392655, 1.1608074122837735]"
"[1.1419987252016002, 1.16885289109776]"
"[1.14192338531322, 1.1768815451676258]"
"[1.142046567283325, 1.183923109323294]"
"[1.1421713349401361, 1.1925864206123213]"
"[1.1421271943307787, 1.20264972301736]"
"[1.1424263569857436, 1.2128135631969437]"
"[1.1425881863186143, 1.2276040218812705]"
"[1.1427747571771527, 1.240986305216148]"
"[1.143238942512091, 1.2555900623263114]"
"[1.1435189880357586, 1.2723650699696794]"
"[1.143715695425303, 1.28491147887842]"
"[1.1438807157050654, 1.2947326250070863]"
"[1.1438570544656173, 1.3069671385020827]"
"[1.144306694844062, 1.3184122284029347]"
"[1.1445952188059851, 1.3308709417578057]"
"[1.1446920855346376, 1.3455102551822398]"
"[1.1448785824231618, 1.3639129010321334]"
"[1.145054754643026, 1.380066804575783]"
"[1.1452746818701298, 1.398247267119769]"
"[1.1454795576935681, 1.4156961657976173]"
"[1.1457548138862879, 1.4308524790312982]"
"[1.1459641564423513, 1.451695536587521]"
"[1.146086153785556, 1.4688868448924017]"
"[1.1461081811403773, 1.4865374759339192]"
"[1.1460459308564435, 1.5035743872381095]"
"[1.1461677972021822, 1.5173619313288753]"
"[1.1461579981135177, 1.5343357955977859]"
"[1.1462412610609336, 1.5514516895525727]"
"[1.1463761758951616, 1.5643406638549648]"
"[1.1463479166372226, 1.5787472117704133]"
"[1.146363135718994, 1.600657238903692]"
"[1.1461915338865543, 1.6196062743643163]"
"[1.146151485455439, 1.638348907072287]"
"[1.1459810055167217, 1.6562353575653237]"
"[1.1460360679713515, 1.670404152082301]"
"[1.1458634980758329, 1.688283664652855]"
"[1.1455981901221828, 1.7045319416533768]"
"[1.145561269647736, 1.7272112826453767]"
"[1.1453416257782412, 1.7487155251338837]"
"[1.1451467162154965, 1.7631707401326269]"
"[1.1449457381714554, 1.780750355465611]"
"[1.1449998835940687, 1.7977289248716555]"
"[1.1447840983584228, 1.813334285736517]"
"[1.1445766263945218, 1.8317261174559174]"
"[1.1443490743461862, 1.8479051865748302]"
"[1.1441205338073002, 1.8691606973343196]"
"[1.1440706669203882, 1.8890094876442494]"
"[1.1438512963291134, 1.904451190634789]"
"[1.1435934228408886, 1.922607553465117]"
"[1.1435096199667594, 1.9406752633494055]"
"[1.1433547981683205, 1.956401800792337]"
"[1.1427690528199392, 1.978630271222663]"
"[1.1428608001582117, 1.9994118358725683]"
"[1.142651574115754, 2.01597789959552]"
"[1.142594380365456, 2.036088688669837]"
"[1.1423986852635135, 2.0623812655238556]"
"[1.1423719649446937, 2.081005124468814]"
"[1.1421431946014202, 2.0989965659670045]"
"[1.1421487454919652, 2.116742962402067]"
"[1.142128380938257, 2.130906724519324]"
"[1.142171382127604, 2.1487048715455592]"
"[1.142235149919457, 2.1682626388557438]"
"[1.14211816672002, 2.1838479376949747]"
"[1.1422978720610626, 2.2029007320118104]"
"[1.1420599300473715, 2.2214605218864296]"
"[1.142518083215348, 2.244985814551471]"
"[1.1426419979966094, 2.2669921992686857]"
"[1.1425336248080729, 2.2870501083166523]"
"[1.1427772729203471, 2.3044086341380807]"
"[1.1430452961868187, 2.323190965411111]"
"[1.1433031675945056, 2.339580302958072]"
"[1.1441589623073682, 2.3788170802513124]"
"[1.1448255609676, 2.407805220884153]"
"[1.145462695101852, 2.436917858363478]"
"[1.1435817032641933, 2.3618797286306807]"
"[1.143571914959533, 2.381401469221139]"
"[1.1437078197739816, 2.398910370159793]"
"[1.143691640756997, 2.4207578867210393]"
"[1.1438710635159564, 2.439555346808]"
"[1.1439813486844668, 2.457309296797038]"
"[1.144249585947487, 2.4747412314024477]"
"[1.1441801568516106, 2.4925172684550874]"
"[1.144218752607581, 2.5091268583024915]"
"[1.1444053719451834, 2.5263021672472226]"
"[1.1444978645549915, 2.5428356839293698]"
"[1.1444841009162172, 2.559556606903385]"
"[1.144713052481844, 2.5790220452989865]"
"[1.1449510576097415, 2.6021570273906947]"
"[1.145332384016133, 2.623017817299396]"
"[1.1454489841832614, 2.6401132108525456]"
"[1.1455621636820212, 2.6568991642788338]"
"[1.1456421347429118, 2.675672667355126]"
"[1.1458447020556675, 2.6935852225005608]"
