"[1.2117533845284352, 3.8916462224289825]"
"[1.2112736592725573, 3.9107132613370124]"
"[1.2110141185270207, 3.932034813743669]"
"[1.2108526311044743, 3.9488384918544854]"
"[1.2104551156256678, 3.9674033834375515]"
"[1.210070896250174, 3.9837006220041205]"
"[1.210067853991506, 4.002128054165626]"
"[1.21002907966336, 4.024838604443759]"
"[1.2099315306263845, 4.045169024872557]"
"[1.2094697878108869, 4.0557545040025165]"
"[1.2091661527449185, 4.075447145936392]"
"[1.2091731670704409, 4.098502171509884]"
"[1.208796812431211, 4.119681422669108]"
"[1.2086689625192613, 4.1405197641427325]"
"[1.2084235616195, 4.157625841115218]"
"[1.2086391114220119, 4.171918836806681]"
"[1.2083075956476241, 4.187514006047441]"
"[1.2081902187392264, 4.203351686804443]"
"[1.207946355220849, 4.22038143157385]"
"[1.207869415478796, 4.2375748165422795]"
"[1.2074720595930195, 4.259925977135217]"
"[1.2074683999218512, 4.2771578589418695]"
"[1.2072718377392826, 4.295013667447165]"
"[1.207123857230708, 4.312916953925491]"
"[1.2069158958675588, 4.329396760653973]"
"[1.2067382777155853, 4.352076844870383]"
"[1.2064994820216932, 4.371114394298777]"
"[1.2063219034281822, 4.387785440195578]"
"[1.2061502562854902, 4.404213202326491]"
"[1.2058654501773927, 4.427175472807831]"
"[1.2058290638686433, 4.444852459517107]"
"[1.2056510489821917, 4.467606983357787]"
"[1.2053376929990014, 4.485460435398238]"
"[1.2052257266143147, 4.50186800432111]"
"[1.2051289097208993, 4.518878487005849]"
"[1.204906540649616, 4.53725843917447]"
"[1.2046788432409818, 4.552284009121185]"
"[1.2044780027736623, 4.570156452563196]"
"[1.2044482355230868, 4.590385317336528]"
"[1.2040510140298712, 4.610976711673211]"
"[1.203779433496997, 4.631250269723246]"
"[1.2035472358761394, 4.648280610485447]"
"[1.2035408918345756, 4.666533626009745]"
"[1.2034711667985416, 4.683755291856199]"
"[1.203254965495036, 4.704744502462131]"
"[1.2030424790539533, 4.725128885918679]"
"[1.202809796206207, 4.74524137780676]"
