"[1.244923809560484, 1.0131592468189696]"
"[1.2449245926516235, 1.0131596554348152]"
"[1.2449252136374063, 1.013159979464586]"
"[1.2449188559362903, 1.0131565038036383]"
"[1.2449175089016333, 1.0131564792141037]"
"[1.2449162250376453, 1.013156857689287]"
"[1.2449151616416, 1.0131571711713767]"
"[1.2449156083691095, 1.0131548517580105]"
"[1.2449113476234126, 1.0131546721799278]"
"[1.2449060952281734, 1.013171248048841]"
"[1.2449102642996328, 1.0131571964628396]"
"[1.2449102642818597, 1.0131571964984043]"
"[1.2449098652498387, 1.013152456754582]"
"[1.24490540146608, 1.0131514619534212]"
"[1.244904388696762, 1.0131504801204685]"
"[1.244901845171489, 1.0131480328052402]"
"[1.2448988809081354, 1.0131482371381102]"
"[1.2448973602340556, 1.0131451292165978]"
"[1.2448944183447745, 1.0131423501802563]"
"[1.2448927426989103, 1.0131425853819396]"
"[1.244890273514378, 1.0131420535460136]"
"[1.2448874001099695, 1.0131395496967106]"
"[1.24488391497617, 1.0131406118439874]"
"[1.2448824596897676, 1.0131393713704315]"
"[1.2448800228998265, 1.013137630720624]"
"[1.2448784176419527, 1.0131349925179012]"
"[1.2448740565545502, 1.0131346173210636]"
"[1.2448715196403974, 1.0131338833119685]"
"[1.2448690123768558, 1.013131864230968]"
"[1.2448628690733214, 1.0131350928581957]"
"[1.244852566980044, 1.013140974222141]"
"[1.2448413419331987, 1.0131473824864403]"
"[1.2448484731313403, 1.0131485614216904]"
"[1.2448394378327896, 1.0131658561673018]"
"[1.2448636174749572, 1.0131249065423413]"
"[1.2448625788524685, 1.0131288840384618]"
"[1.244861416031377, 1.0131282553170757]"
"[1.2448581607894436, 1.0131275050567947]"
"[1.2448553546836318, 1.0131262921149513]"
"[1.2448524768335945, 1.0131235895186157]"
"[1.2448499838215545, 1.013122291185555]"
"[1.2448467086033868, 1.0131214275692544]"
"[1.244843880282, 1.0131196965363853]"
"[1.244840905273873, 1.013118477594288]"
"[1.244840155555504, 1.013116410132796]"
"[1.2448376072111684, 1.013114714695842]"
"[1.2448330419086182, 1.0131136943083137]"
"[1.2448288359942803, 1.0131114119610396]"
"[1.2448265605885451, 1.0131103824408438]"
"[1.2448237067584786, 1.0131093100898148]"
"[1.2448210713047765, 1.0131079768887155]"
"[1.244818252155208, 1.0131044990906148]"
"[1.2448152726469857, 1.0131047858398257]"
"[1.2448132467466855, 1.0131036834729308]"
"[1.2448105864392973, 1.0131027546144131]"
"[1.2448064475426877, 1.0131017811870824]"
"[1.2448053734029014, 1.0131004890703352]"
"[1.2447953879499052, 1.0184032784491865]"
"[1.2447932388420182, 1.0276234707142633]"
"[1.2447935365932326, 1.0371869963509661]"
"[1.2447616757324607, 1.0450583164520808]"
"[1.2447527605232387, 1.055118511365415]"
"[1.2447505245950747, 1.0607917315851985]"
"[1.244719565657157, 1.072709219847575]"
"[1.244717374523771, 1.0806112047536172]"
"[1.2447028340810977, 1.0921457753305972]"
"[1.2447014179056666, 1.102276267877448]"
"[1.2446727598513512, 1.1120670974388014]"
"[1.2446688972254658, 1.1235725554306097]"
"[1.2446568813274574, 1.13364834176599]"
"[1.244636027326868, 1.1435825496893264]"
"[1.2446288734639253, 1.1536360073451573]"
"[1.2446176962224564, 1.1650398199523837]"
"[1.2446179028948376, 1.1750802442512331]"
"[1.2446072168294415, 1.1848051098161945]"
"[1.2445618982934326, 1.1964233910308402]"
"[1.2445577050745027, 1.2081578011011629]"
"[1.2445400642133229, 1.2199463220944988]"
"[1.244531389346318, 1.2301356480824095]"
"[1.2445239301571347, 1.241928907508327]"
"[1.2445349433378938, 1.2536519441286267]"
"[1.2444718252913396, 1.265372658760161]"
"[1.2444654820429182, 1.2770243873601808]"
"[1.2444521915491034, 1.2871491626877454]"
"[1.2444409794643272, 1.2989407217510933]"
"[1.2444344468138449, 1.3106471749206199]"
